Inbetriebnahmedatum,Solar(GWh),Bruttoleistung(GWp)
2018-03-06,80.7,42.68166681499988
2018-03-07,60.0,42.68985615999988
2018-03-08,98.4,42.69417824299987
2018-03-09,75.7,42.69868269299988
2018-03-10,59.1,42.69926594299987
2018-03-11,88.9,42.69928214299988
2018-03-12,52.1,42.702801072999875
2018-03-13,55.2,42.70589351099988
2018-03-14,75.4,42.711219244999874
2018-03-15,114.5,42.723428692999875
2018-03-16,51.4,42.72693703299988
2018-03-17,55.7,42.72730368299988
2018-03-18,86.8,42.727426947999874
2018-03-19,125.7,42.73409421599988
2018-03-20,105.3,42.73964940599987
2018-03-21,142.9,42.74875845599987
2018-03-22,59.4,42.755466185999865
2018-03-23,47.1,42.76195769999987
2018-03-24,152.5,42.76267337499987
2018-03-25,167.4,42.76279562999987
2018-03-26,76.8,42.76948461499987
2018-03-27,118.2,42.78746913899986
2018-03-28,48.8,42.79829845999987
2018-03-29,100.3,42.81271358499987
2018-03-30,153.9,42.81442361099987
2018-03-31,78.2,42.82064314599987
2018-04-01,77.5,42.82230279599987
2018-04-02,159.9,42.82388134999986
2018-04-03,150.8,42.82745531599986
2018-04-04,146.1,42.83483424699986
2018-04-05,104.3,42.839821532999856
2018-04-06,228.0,42.84781198499986
2018-04-07,224.3,42.84805285499986
2018-04-08,207.9,42.84809683499985
2018-04-09,153.7,42.85288495499985
2018-04-10,164.3,42.85994121999985
2018-04-11,158.7,42.87141921499985
2018-04-12,150.3,42.879840048999846
2018-04-13,90.2,42.887371992999846
2018-04-14,164.9,42.88857302799984
2018-04-15,150.0,42.88885205799984
2018-04-16,107.2,42.895104452999846
2018-04-17,205.7,42.90315844199985
2018-04-18,225.7,42.917057697999844
2018-04-19,226.6,42.92937447499985
2018-04-20,224.0,42.93806802799985
2018-04-21,220.2,42.93853614799985
2018-04-22,208.3,42.94013253299984
2018-04-23,146.7,42.95642200399985
2018-04-24,149.9,42.970011725999846
2018-04-25,146.3,42.982106861999846
2018-04-26,145.4,42.99675726399985
2018-04-27,217.8,43.017894833999854
2018-04-28,188.5,43.02035224899985
2018-04-29,198.6,43.022650328999845
2018-04-30,160.3,43.04326377099984
2018-05-01,158.1,43.04550917099984
2018-05-02,168.9,43.05045632699985
2018-05-03,179.3,43.057012786999856
2018-05-04,212.2,43.06540137699986
2018-05-05,236.2,43.066364291999854
2018-05-06,252.6,43.06642895699985
2018-05-07,251.0,43.07228951699986
2018-05-08,251.7,43.08017887899986
2018-05-09,222.5,43.091371008999865
2018-05-10,154.4,43.09159486399986
2018-05-11,172.2,43.093744653999856
2018-05-12,213.9,43.094356468999855
2018-05-13,187.3,43.094452828999856
2018-05-14,187.9,43.09968909799986
2018-05-15,182.7,43.11271265299985
2018-05-16,124.4,43.118701316999854
2018-05-17,158.3,43.14243964199985
2018-05-18,182.0,43.17167370799986
2018-05-19,195.3,43.17273104099986
2018-05-20,211.0,43.172807270999854
2018-05-21,252.5,43.172993420999845
2018-05-22,216.1,43.17807695899985
2018-05-23,193.0,43.184986406999855
2018-05-24,153.9,43.19046889699985
2018-05-25,210.5,43.20137740199985
2018-05-26,239.9,43.202627491999856
2018-05-27,200.6,43.20341819199986
2018-05-28,238.0,43.212309609999856
2018-05-29,212.8,43.220200356999854
2018-05-30,219.8,43.23625030199986
2018-05-31,217.6,43.242830091999856
2018-06-01,172.7,43.259292489999865
2018-06-02,161.1,43.25962199999986
2018-06-03,199.8,43.25993156999986
2018-06-04,220.2,43.26586179699986
2018-06-05,207.9,43.269793661999856
2018-06-06,245.4,43.280029019999866
2018-06-07,212.3,43.29601801199986
2018-06-08,205.8,43.308112006999856
2018-06-09,200.1,43.30851798699985
2018-06-10,184.1,43.30924437199985
2018-06-11,178.3,43.319479734999845
2018-06-12,127.9,43.32716562099985
2018-06-13,93.7,43.33935596399985
2018-06-14,198.1,43.345138585999855
2018-06-15,193.2,43.356555436999855
